,ema_fast,ema_slow,annual_return
0,19,23,9.930887800392432
1,19,24,9.624983235693549
2,20,23,9.624983235693549
3,20,22,9.420637231662054
4,18,24,9.389872071337416
5,17,25,9.388906411935572
6,18,25,9.282976491395196
7,21,23,9.27018067978873
8,15,28,9.149425509505363
9,20,24,9.130647958556311
10,12,32,9.05044863403688
11,11,34,9.033757767874343
12,16,27,9.029831336666064
13,17,26,8.983183210584157
14,16,25,8.94010845819943
15,15,27,8.930101175936244
16,17,28,8.918057512661221
17,12,34,8.853255980670673
18,19,26,8.841251439755993
19,22,23,8.826188588272942
20,20,25,8.82006548239955
21,18,27,8.810451058605024
22,19,25,8.784760620022091
23,21,24,8.784588693155598
24,2,61,8.76878542478245
25,14,28,8.722412489819908
26,11,36,8.717853825497182
27,13,32,8.69051431629901
28,17,29,8.667222813389891
29,16,26,8.646969630573786
30,18,26,8.644011177291382
31,21,22,8.605630148622929
32,10,36,8.540117128359856
33,13,29,8.503944869223526
34,17,24,8.482558901820173
35,20,21,8.479920199634265
36,19,22,8.410225705100869
37,13,33,8.389278782753205
38,2,71,8.3709959641424
39,14,29,8.361762314057266
40,2,73,8.323076081071285
41,14,30,8.29373838690241
42,18,28,8.277713830635147
43,9,38,8.24416171902005
44,17,27,8.240277691418612
45,13,30,8.233880865386888
46,18,23,8.231086573951037
47,16,29,8.227660777028058
48,19,27,8.225867547528743
49,2,76,8.221502803424793
