,ema_fast,ema_slow,annual_return
0,24,13,19.60991309802125
1,4,12,19.54205254569323
2,21,15,19.531844605980293
3,20,16,19.50904379543584
4,19,17,19.50904379543584
5,22,15,19.380131446893294
6,23,14,18.854096314592407
7,5,10,18.822546542661776
8,21,16,18.54971888218357
9,24,14,18.184602684317287
10,19,18,18.121680722768662
11,20,17,18.121680722768662
12,23,15,18.03999328176315
13,4,11,17.915812462234975
14,6,10,17.89871637161066
15,5,11,17.870757077464027
16,23,13,17.539695046071206
17,22,16,17.534183507017815
18,24,12,17.514043181845313
19,22,14,17.428163436093506
20,24,10,17.373343795674533
21,19,13,17.3464355584979
22,22,11,17.106034364094686
23,21,17,17.104300973279145
24,24,15,17.09839018767782
25,21,20,16.92398756266618
26,20,18,16.894710786838356
27,23,11,16.848597494636778
28,19,16,16.744619160282284
29,20,15,16.72667285450001
30,5,12,16.600515593392267
31,18,17,16.59093005896862
32,22,19,16.57057338449011
33,22,13,16.553000312039288
34,21,14,16.51797412156015
35,23,18,16.35859140322142
36,24,23,16.27192003022605
37,23,16,16.236063391506526
38,18,14,16.119138521776645
39,20,12,16.112594718533607
40,6,11,16.03206184727888
41,4,13,16.01979192066883
42,20,19,15.98473939854188
43,21,12,15.979895500230418
44,4,10,15.975233566599572
45,21,18,15.938696877884809
46,22,12,15.91925880688709
47,19,14,15.889589416483998
48,21,13,15.867673776121036
49,22,17,15.801165866945627
