,ema_fast,ema_slow,annual_return
0,1,10,10.232047537340849
1,12,31,2.5637207437687644
2,13,27,2.474127624436794
3,13,28,2.474127624436794
4,14,27,1.5479757547886694
5,18,21,1.5479757547886694
6,18,22,1.5479757547886694
7,16,25,1.5479757547886694
8,17,23,1.5479757547886694
9,19,21,1.5479757547886694
10,16,24,1.5479757547886694
11,13,29,1.5479757547886694
12,19,20,1.5479757547886694
13,14,28,1.5479757547886694
14,15,25,1.5479757547886694
15,15,26,1.5479757547886694
16,16,19,1.498221478817464
17,17,22,1.4592625240139827
18,16,23,1.4592625240139827
19,14,26,1.4592625240139827
20,17,18,1.290915819104394
21,12,29,1.238025141713054
22,12,30,1.238025141713054
23,15,20,0.2455481378841195
24,16,20,0.2177882588891249
25,17,19,0.2177882588891249
26,15,21,0.2177882588891249
27,14,22,0.2177882588891249
28,24,24,0.0
29,17,17,0.0
30,18,18,0.0
31,11,11,0.0
32,12,12,0.0
33,23,23,0.0
34,10,10,0.0
35,22,22,0.0
36,15,15,0.0
37,16,16,0.0
38,13,13,0.0
39,19,19,0.0
40,21,21,0.0
41,14,14,0.0
42,20,20,0.0
43,11,32,-0.011415945954838
44,15,24,-0.2579084099666324
45,14,21,-0.3720355840759782
46,12,23,-0.3720355840759782
47,13,22,-0.3720355840759782
48,1,11,-0.5535758415896314
49,12,22,-0.6090620550731191
