,ema_fast,ema_slow,annual_return
0,14,40,17.133971562943824
1,15,38,16.844461426210945
2,18,33,16.71028779437369
3,16,37,16.571917537727906
4,16,38,16.474292113562395
5,20,32,16.455018377058888
6,21,29,16.400314926928893
7,15,39,16.339923757976706
8,23,24,16.339377179179145
9,22,25,16.339377179179145
10,19,34,16.318079665218548
11,21,31,16.277149606364357
12,24,25,16.266500241249002
13,23,26,16.250519043415515
14,17,37,16.23668426627153
15,21,26,16.22811285478553
16,22,28,16.224814237492136
17,23,27,16.208846076635865
18,20,29,16.207186745191763
19,16,36,16.190532516923323
20,15,37,16.188324502460755
21,12,38,16.18303355067251
22,24,26,16.173456481621017
23,14,39,16.164355178925195
24,21,28,16.150084689893703
25,17,34,16.073665504212542
26,20,78,16.068549076259057
27,13,40,16.05120521084225
28,17,36,16.021886267730732
29,18,29,15.983786303860706
30,16,35,15.979074865723256
31,12,40,15.964767082092395
32,11,39,15.958728551043064
33,20,30,15.951187294228871
34,20,79,15.949512177231949
35,12,41,15.9473214180869
36,19,30,15.94073982016694
37,19,27,15.918197399467733
38,24,73,15.909224806640044
39,16,32,15.905999177089605
40,22,27,15.899275298063632
41,23,77,15.882621764084767
42,23,78,15.882621764084767
43,18,78,15.874483546698457
44,18,35,15.868446921221288
45,24,74,15.865194381671206
46,24,75,15.865194381671206
47,21,32,15.856221801042208
48,17,31,15.848784575993966
49,18,66,15.836107085156764
