,ema_fast,ema_slow,annual_return,sqn,trades
0,1,10,-4.95212521601073,-0.6247183952927933,106
1,1,11,-5.225591722547353,-0.6940535533522948,94
2,1,12,-6.524781589108756,-0.8569659304665033,96
3,1,13,-5.1269949184204275,-0.6154643605697772,90
4,1,14,-2.4074501362352843,-0.26821004377547714,89
5,1,15,2.901183182546072,0.4968125521742207,86
6,1,16,3.130910800103325,0.5276096980210576,84
7,1,17,1.5585568671757946,0.26255392432444485,80
8,1,18,-5.286496089180344,-0.8850026015190927,78
9,1,19,-6.021037469278148,-1.003433069465779,77
10,1,20,-7.0426937832595,-1.1751148522117851,78
11,1,21,-5.2720596925263035,-0.9220683194382907,74
12,1,22,0.7593594463283961,0.07342787018463756,74
13,1,23,0.19184583667466124,0.01844706820998244,73
14,1,24,-4.8618878933071885,-0.883996134240733,66
15,1,25,-3.716493102625186,-0.710480459130701,63
16,1,26,-3.8846745892479357,-0.7513564803048092,62
17,1,27,-4.103010066583387,-0.7921216300039549,61
18,1,28,-2.8059882342939564,-0.5061383119488141,61
19,1,29,-2.905833712452376,-0.5281447693353164,62
20,1,30,-2.824991082232338,-0.4973040733064912,62
21,1,31,-3.704153257086082,-0.6457421643770322,60
22,1,32,-3.885608012931448,-0.6713584418478029,61
23,1,33,-4.732468889783505,-0.8316555445870796,58
24,1,34,-4.861229942628856,-0.8592443166903321,56
25,1,35,-4.782783267357977,-0.8589359673082195,53
26,1,36,-3.878923141040623,-0.7056258496698834,53
27,1,37,-1.8150129365865357,-0.24957917610500152,53
28,1,38,-2.3428428622742494,-0.31813800809628884,51
29,1,39,-2.144696626089418,-0.2878203566865404,50
30,1,40,-3.256803112561584,-0.45192212940889265,48
31,1,41,-3.376625734609399,-0.471795830496459,47
32,1,42,-3.519674243813753,-0.4918211703088733,45
33,1,43,-0.32625657906171474,-0.06608742354066312,43
34,1,44,-0.20845555635432425,-0.04228353707528727,43
35,1,45,2.1591961480622217,0.39792166041067656,48
36,1,46,1.0170072659262483,0.1825978934243596,47
37,1,47,-3.4862571627936956,-0.5141483242332455,49
38,1,48,-4.239447546886072,-0.6188148271907149,50
39,1,49,-4.711962570362364,-0.688658220495768,53
40,1,50,-3.916205951566823,-0.558424491971395,52
41,1,51,-4.0213636677668925,-0.5724030373824894,53
42,1,52,-3.7778632787729958,-0.5419545724765457,54
43,1,53,-4.007858574135183,-0.5769006351878451,55
44,1,54,-5.488598744234932,-0.7706870998225107,54
45,1,55,-6.430113616904048,-0.8373094378774624,53
46,1,56,-6.492756232766715,-0.8425677669027516,54
47,1,57,-6.387832365131871,-0.8311182738324504,55
48,1,58,-5.673731789391848,-0.7377099910558216,55
49,1,59,-5.455410675318725,-0.7087293956684436,52
50,1,60,-5.476029115749954,-0.6815780628095076,52
51,1,61,-5.570764043776786,-0.7026971826402683,51
52,1,62,-5.243984767049565,-0.6672997989157016,51
53,1,63,-4.467636499080972,-0.5689815437639361,49
54,1,64,-4.526790291853722,-0.5751594259066567,48
55,1,65,-4.737391596602163,-0.6181987382392519,44
56,1,66,-3.561521977453515,-0.47950118143906895,40
57,1,67,-3.81867196387028,-0.5182721882951073,41
58,1,68,-3.747643001879142,-0.5021197673345389,42
59,1,69,-4.115538678459404,-0.550705067484192,40
60,1,70,-4.21313858801864,-0.5663369607181911,40
61,1,71,-3.8945153429225576,-0.521339997124314,38
62,1,72,-3.8265804426522734,-0.5164213954406761,37
63,1,73,-1.9320338045817183,-0.2768982167703069,35
64,1,74,-2.075542134554212,-0.292141188105869,36
65,1,75,-2.24582062877449,-0.3143566282131125,37
66,1,76,-6.018789302970799,-1.4385072670969694,35
67,1,77,-6.154747799024775,-1.467156301675206,35
68,1,78,-6.567713746173524,-1.585177555259451,36
69,1,79,-6.318805920017123,-1.5131100304183251,36
70,2,10,-1.115069632941057,-0.11716445983335257,68
71,2,11,5.872534502741649,1.0732780820596075,70
72,2,12,4.541361225339993,0.7596903201783406,68
73,2,13,7.443487839110062,1.0533664227117017,63
74,2,14,0.3760489274479577,0.05121249117798405,60
75,2,15,-0.296876853864417,-0.03946499748398139,60
76,2,16,-2.6436090300589754,-0.4524342567613065,59
77,2,17,-0.18381347577933368,-0.030247993922531434,58
78,2,18,-0.8615296291670219,-0.1454503833326742,56
79,2,19,-0.7293505935116027,-0.1286879020411762,54
80,2,20,-1.971995857642083,-0.34758706932428246,56
81,2,21,-5.55166639240727,-1.0036032850578989,52
82,2,22,-2.653371780167311,-0.46036651434956094,52
83,2,23,-3.5643711109841214,-0.6262933487597007,51
84,2,24,-6.068031944648894,-1.051364934389138,51
85,2,25,-6.6394046911262175,-1.1522989654359699,48
86,2,26,-6.941210570296655,-1.1775479769003399,49
87,2,27,-5.780226675109345,-0.9720308402622887,44
88,2,28,-5.488431465296621,-0.931926099123563,42
89,2,29,-4.463471520457044,-0.7648304602453736,37
90,2,30,-2.928516041399548,-0.48204913266539634,37
91,2,31,0.047666596710019826,0.0062177753269526785,35
92,2,32,-0.10712515495179739,-0.013987565351289238,34
93,2,33,-0.6399410324982865,-0.08326769681064189,34
94,2,34,-0.6318425833231697,-0.0835342465789513,34
95,2,35,-0.5770253975012727,-0.07706259376195758,36
96,2,36,2.5978708118182587,0.5107825546013687,34
97,2,37,-5.692460070471371,-0.6072616117822474,39
98,2,38,-6.817271753086125,-0.7601955442853475,41
99,2,39,-5.868940591970258,-0.6619608216427194,39
100,2,40,-5.8908885118296235,-0.6519015493732457,37
101,2,41,-6.348222012079964,-0.6808979706467658,38
102,2,42,-0.4090329535449755,-0.073019185546846,37
103,2,43,-9.699402736391454,-0.8950617498043645,37
104,2,44,-10.933588564208078,-0.9758567165139268,37
105,2,45,-8.582112222017695,-0.8143005810224119,36
106,2,46,-7.246490682986605,-0.6710719168862103,37
107,2,47,-7.204831061152257,-0.6677874571781195,39
108,2,48,-7.363858037174996,-0.6904449316633762,38
109,2,49,-7.521464754502387,-0.6999838175183644,40
110,2,50,-7.615529197515588,-0.6893656198997002,41
111,2,51,-9.89372773175936,-0.8717706180031868,37
112,2,52,-10.2286555606649,-0.8661901017653671,39
113,2,53,-10.588745351594204,-0.8894096864311619,39
114,2,54,-10.638857412430584,-0.8930113567748814,38
115,2,55,-10.311805429673603,-0.8733586582649752,38
116,2,56,-10.106454464314778,-0.8602321371725669,37
117,2,57,-9.540068796643746,-0.8007295791546678,36
118,2,58,-9.486353269786774,-0.7950392921510414,34
119,2,59,-3.0431874748099172,-0.39340791746347775,34
120,2,60,-2.5316053923733284,-0.33125486557109973,31
121,2,61,-4.449636156808275,-0.5815611069022,30
122,2,62,-4.345701255000804,-0.5695050824279214,29
123,2,63,-4.200685874734576,-0.5466491435982376,29
124,2,64,-4.502125972343324,-0.5837617794349605,30
125,2,65,-3.2502454634214075,-0.44715384229926614,28
126,2,66,2.449173557501174,0.21307880508590238,28
127,2,67,2.505021614178368,0.2189068242962231,27
128,2,68,2.096574945276834,0.1819263911960705,28
129,2,69,2.7505288312088627,0.24485564505967766,27
130,2,70,2.140005711603531,0.18758848761025068,28
131,2,71,3.7915697807586537,0.3518118331307505,27
132,2,72,4.283110396996404,0.3882597556864342,26
133,2,73,4.670037790762359,0.40896146822472956,26
134,2,74,4.511191736062733,0.39285966569096037,26
135,2,75,4.908916170735538,0.29514747440261846,25
136,2,76,8.056582921494462,0.527037525341528,27
137,2,77,7.991957353214817,0.5305349786788095,27
138,2,78,8.45837943640243,0.5674749739338703,26
139,2,79,8.670706737580502,0.5845169583621751,25
140,3,10,6.221758027916725,0.9880921830775591,57
141,3,11,5.173471829163556,0.7802849578311818,60
142,3,12,1.8878626856742964,0.21727601942499966,60
143,3,13,2.7953079890463894,0.3176213724612147,55
144,3,14,0.35869350781386744,0.05086683919819866,54
145,3,15,2.1610518463455617,0.31667244137151485,51
146,3,16,1.2416327183957376,0.205129013027441,49
147,3,17,1.5286670735396581,0.25337060556554836,46
148,3,18,-0.20120787641455481,-0.0319951324397418,48
149,3,19,-1.3527601586976463,-0.22274864677519654,46
150,3,20,-4.064787593122634,-0.6921429024001812,46
151,3,21,-5.527686524592561,-0.9301045108758256,42
152,3,22,-7.881716695459966,-1.2324008116571428,48
