,ma_period,atr_period,up_line,down_line,annual_return,sqn,trades
0,2,12,1.0,1.0,21.365164128942183,1.9135692518594256,3
1,2,11,1.0,1.0,21.365164128942183,1.9135692518594256,3
2,2,16,1.0,1.0,17.561431555255613,1.3279042945784216,4
3,2,15,1.0,1.0,17.561431555255613,1.3279042945784216,4
4,2,13,1.0,1.0,17.561431555255613,1.3279042945784216,4
5,2,14,1.0,1.0,17.561431555255613,1.3279042945784216,4
6,2,17,1.0,1.0,14.61216963358625,1.155089531009194,4
7,3,8,1.4,1.4,13.984048755595952,1.3077195781535438,4
8,5,12,1.6,1.8,13.59623572999243,1.0695673245520094,7
9,5,11,1.6,1.8,13.59623572999243,1.0695673245520094,7
10,4,9,1.6,1.6,11.890923489095067,1.2387899816793906,4
11,5,12,1.6,1.4,11.46928614913364,1.0080845398283205,11
12,5,13,1.6,1.4,11.46928614913364,1.0080845398283205,11
13,3,7,1.4,1.4,11.425848089867424,1.024045389227945,3
14,4,9,1.6,1.2,11.17290494265572,0.933590167551096,8
15,5,11,1.6,1.4,10.440191232228734,0.9239921282839286,10
16,4,9,1.6,1.8,10.372563737046423,1.0875263205655248,3
17,6,17,1.8,1.8,9.904036997069612,0.9002454533211109,8
18,5,15,1.6,1.4,9.48563342405188,0.875361591885551,10
19,5,14,1.6,1.4,9.48563342405188,0.875361591885551,10
20,5,9,1.6,1.8,9.399353845555416,0.9812646607153152,7
21,4,9,1.6,1.4,9.34624518245604,0.7726053646527276,6
22,4,10,1.6,1.2,9.243129055639338,0.7515151778644774,9
23,6,11,1.8,1.6,9.038770990800089,0.8606559340341492,8
24,3,14,1.6,1.6,8.465282435525971,2.67151836709993,2
25,3,13,1.6,1.6,8.465282435525971,2.67151836709993,2
26,3,15,1.6,1.6,8.465282435525971,2.67151836709993,2
27,5,10,1.6,1.8,8.261344551862596,0.799681662614393,7
28,4,10,1.6,1.4,8.13114418378811,0.6674070624941707,8
29,5,10,1.6,1.4,8.111275877417146,0.6884665684473538,9
30,5,15,1.6,2.0,7.938728982593717,0.6281482675936754,7
31,6,15,1.8,1.8,7.87488225042859,0.6858701808746084,8
32,6,16,1.8,1.8,7.87488225042859,0.6858701808746084,8
33,4,17,1.6,1.4,7.611850193593586,0.6780597364170158,8
34,4,16,1.6,1.4,7.611850193593586,0.6780597364170158,8
35,5,9,1.6,1.4,7.590583208182648,0.6263143332528324,9
36,4,17,1.8,1.4,7.56787030495436,0.6725286971921919,6
37,4,17,1.8,1.6,7.56787030495436,0.6725286971921919,6
38,9,8,2.0,1.6,7.535970580378813,0.7168454694296914,10
39,5,13,1.6,1.8,7.523155551720512,0.6067524970615426,8
40,4,17,1.8,2.0,7.464811902541752,0.8386509515564889,3
41,4,11,1.6,1.2,7.459551533659474,0.6325912379859978,9
42,5,16,1.6,1.4,7.455150810393148,0.6695622080711683,10
43,5,8,1.6,1.8,7.269275227106189,0.8036906326175005,7
44,6,17,1.8,1.6,7.176848743134453,0.6369448208664922,9
45,6,16,1.8,1.6,7.176848743134453,0.6369448208664922,9
46,5,12,1.8,1.8,7.0693697148050365,0.6420445033447904,7
47,3,8,1.6,1.4,7.003271531032499,0.0,1
48,3,16,1.8,1.6,7.003271531032499,0.0,1
49,3,15,2.0,1.6,7.003271531032499,0.0,1
