,sma_fast,sma_slow,annual_return
0,12,13,35.3247349030238
1,18,25,34.778482969197874
2,19,25,34.171750565217366
3,18,26,32.714096993767846
4,19,24,31.173541093083777
5,18,24,30.653760228988165
6,11,12,29.20484942907638
7,17,26,29.1741239505321
8,19,26,28.972436199000644
9,20,25,28.51864446986805
10,3,32,28.476025415201267
11,19,20,28.42313958006337
12,11,14,28.341301596929945
13,12,14,28.322539412591613
14,3,16,28.133464147727576
15,3,15,28.049152013567756
16,13,27,27.935916556195707
17,4,14,27.90496862613015
18,18,27,27.869917482433703
19,5,14,27.570964140673983
20,3,31,27.548715515659456
21,4,31,27.45592515194856
22,11,13,27.44057882686079
23,4,38,27.418068733442503
24,10,14,27.410332569553024
25,4,49,27.37487676716325
26,3,14,27.374259320449674
27,2,15,27.29119913371199
28,2,21,27.28497109563119
29,4,29,27.27999771226388
30,2,35,27.186578096736568
31,2,22,27.163223271211237
32,2,40,27.0816201003646
33,2,17,27.06871750980502
34,2,50,27.05132973943387
35,17,25,27.01643949966416
36,4,51,26.87699844163831
37,12,28,26.859304401869387
38,3,34,26.77086555129664
39,2,20,26.654776988592918
40,4,44,26.615352459088182
41,13,14,26.58352900551025
42,12,26,26.54432841092165
43,4,15,26.53464669170009
44,4,32,26.432247760009048
45,2,39,26.387786720300404
46,1,47,26.36938537265614
47,4,50,26.322987296079337
48,20,24,26.314977109738752
49,5,28,26.302003842736244
