,sma_fast,sma_slow,annual_return
0,20,12,11.09673949916865
1,20,13,10.631588883126176
2,28,77,10.318260420595672
3,28,78,10.312354980959784
4,27,77,10.081476350373483
5,19,14,9.96914265289818
6,28,76,9.92051887021038
7,19,13,9.714581978545889
8,29,78,9.708066713581152
9,18,13,9.477999891198335
10,28,79,9.472853148683104
11,17,14,9.352707472557944
12,27,78,9.333127626202709
13,27,79,9.160871363486777
14,21,13,9.123377991217287
15,29,79,9.044080245594904
16,29,77,8.931867488390171
17,2,14,8.827713239890809
18,17,15,8.819738606325302
19,21,12,8.75844438584449
20,29,76,8.75273959175865
21,18,12,8.690789923964132
22,29,80,8.596480934693158
23,28,75,8.55907812741566
24,18,14,8.553836014313045
25,22,12,8.540541245374127
26,29,74,8.52512573901719
27,28,80,8.494786218949288
28,28,73,8.455152608545935
29,28,71,8.395196446933687
30,18,15,8.337461782102586
31,29,75,8.328543557243595
32,29,72,8.276016152597613
33,28,74,8.268435373258415
34,27,81,8.260600690953455
35,27,80,8.236597225799597
36,29,81,8.164864398244482
37,27,76,8.12497378014403
38,20,11,8.06788037747348
39,28,72,8.067060125402012
40,2,16,8.007901887754675
41,29,73,7.919196718628369
42,22,11,7.754155630483818
43,27,75,7.685331767109647
44,15,14,7.617013375457729
45,2,10,7.569442514898053
46,29,71,7.405966121561549
47,2,11,7.339690221768373
48,27,82,7.288903345473813
49,21,11,7.265138463478542
