,sma_fast,sma_slow,annual_return
0,22,24,27.327240306369085
1,17,18,25.289613805378877
2,22,23,25.138478931383645
3,16,19,22.942352601296307
4,16,18,22.32570218739371
5,17,19,21.57716145402505
6,21,24,21.1335332043826
7,16,20,20.923994243979497
8,20,21,20.430923572323888
9,20,22,19.95864209824622
10,15,13,19.80177221023929
11,19,22,19.28440877680721
12,18,24,19.204326245783804
13,6,35,18.081058253172497
14,15,24,17.994823840784544
15,17,12,17.98377753688248
16,24,37,17.8466440678029
17,16,13,17.74592082666155
18,15,21,17.71911915858879
19,3,104,17.595061944418127
20,1,25,17.553705972300158
21,25,36,17.5143440253676
22,15,22,17.511787958583767
23,16,21,17.507536649104495
24,1,43,17.421931175296066
25,3,107,17.421024287351432
26,21,23,17.410691830583897
27,11,99,17.403875937955288
28,4,102,17.3760877649084
29,2,101,17.35551280731325
30,3,102,17.349260343464426
31,2,98,17.326519238392386
32,9,120,17.314316095318542
33,9,119,17.309589581477724
34,11,98,17.259716267917653
35,3,105,17.18974239730933
36,17,20,17.150405117468974
37,3,26,17.121706089281616
38,3,25,17.11973410468726
39,2,102,17.106279046661324
40,4,101,17.080933079423293
41,13,12,16.973429810517235
42,4,26,16.969776438303093
43,3,101,16.9529959276991
44,18,12,16.922451528397055
45,18,29,16.89953382660785
46,1,42,16.859562191791657
47,3,103,16.82761663914267
48,16,12,16.787504743345405
49,4,23,16.72753574807599
