,sma_fast,sma_slow,annual_return
0,12,37,26.73203261296904
1,12,18,25.522622849547155
2,15,16,24.685662243020285
3,12,38,24.224773894172376
4,13,35,24.06975808412041
5,13,33,23.826213062789176
6,13,18,23.597931455194807
7,12,36,23.477762580658567
8,13,22,23.159924155071145
9,23,45,23.017277285773496
10,12,34,22.790563822551483
11,24,44,22.739244256370807
12,13,34,22.66690757950036
13,12,75,22.63489530683666
14,17,19,22.57417865761756
15,11,74,22.546752947618906
16,12,35,22.487922101270456
17,15,21,22.480818726703657
18,6,23,22.44012369417581
19,6,24,22.426185772623647
20,12,39,22.35943228089823
21,23,46,22.356157365027947
22,13,16,22.254362212853312
23,11,81,22.24384193473401
24,25,43,22.238177483583787
25,11,77,22.116840246896025
26,11,57,22.094552688899604
27,12,77,22.0666135321088
28,9,27,22.02925666454508
29,11,58,21.968385232635057
30,12,74,21.95759976289083
31,26,43,21.908552813398742
32,27,44,21.886337493841584
33,11,75,21.868138436865284
34,11,59,21.83796639337504
35,14,21,21.632785582151755
36,24,45,21.61854856134828
37,12,78,21.517801081291783
38,13,72,21.49833791126677
39,13,26,21.47679651956799
40,13,37,21.470983846969386
41,25,44,21.442314252300317
42,15,75,21.361343098958
43,12,73,21.330608969196252
44,12,33,21.286705067797698
45,12,24,21.219152247049568
46,27,43,21.17793827238329
47,11,76,21.16456945088511
48,11,61,21.118409261005013
49,12,60,21.086580617350247
