,macd_fast,macd_slow,macd_signal,annual_return,sqn,trades
0,7,16,4,8.451544540125466,1.450103887414536,127
1,7,18,4,8.42275925511198,1.454181779114222,125
2,6,12,6,8.333959751077757,1.390912683273854,125
3,4,18,7,8.322139646665033,1.438071748685046,125
4,4,16,7,8.286634860346801,1.4284405890293894,127
5,5,19,5,8.232231940610498,1.4249996684176436,127
6,7,19,4,8.118148614234677,1.4340244691131587,122
7,7,17,4,8.088121371480215,1.4045229410715527,125
8,4,17,7,7.923778544941966,1.382434696773809,125
9,8,16,4,7.894904442922152,1.3569258996033926,122
10,8,17,4,7.872291924218961,1.3617172415898826,122
11,2,10,21,7.840587004892627,1.4737816937472834,135
12,5,18,5,7.833120288762539,1.3265988039746548,129
13,12,14,3,7.794331261444682,1.3986704600554507,122
14,6,57,6,7.767129201932743,1.4047982671218266,89
15,6,15,5,7.741992134604822,1.2972314872559916,124
16,7,10,6,7.73951956741851,1.245508836212196,125
17,4,16,8,7.7308405143939956,1.3349836174567855,122
18,7,13,5,7.724629358935956,1.298760072860835,122
19,6,59,6,7.7072176656800595,1.4114343376293317,89
20,7,12,5,7.701948805190469,1.2538653277641176,126
21,5,15,6,7.700759053984731,1.2872306280379568,124
22,9,10,5,7.697290484405062,1.281407013590606,123
23,6,58,6,7.695681405113013,1.3897577832895824,89
24,7,11,6,7.6941794019099135,1.2836573127545696,121
25,5,13,7,7.691521963577411,1.2922240800679012,122
26,6,11,7,7.672921574748891,1.280037815197065,121
27,7,15,4,7.649101606689583,1.3109304815187697,130
28,4,17,8,7.631769948817113,1.3293914236234463,122
29,9,12,4,7.62175797259024,1.2785397652271893,123
30,4,15,7,7.612089745439027,1.3018034098576527,130
31,3,16,11,7.589829270000213,1.3719005360854024,123
32,8,12,5,7.524785805947902,1.259875420806356,119
33,9,15,4,7.501729401736481,1.294947947595024,119
34,8,11,5,7.495066024284626,1.2342870194123294,125
35,9,11,4,7.484471440741782,1.2323729370530474,131
36,5,15,7,7.469090162185006,1.269845219082559,119
37,6,20,4,7.464786830863806,1.3126725003383068,128
38,7,14,4,7.458316733659739,1.207787442720495,132
39,7,15,5,7.458137399928264,1.2699890409717582,119
40,11,13,3,7.438160247022374,1.306230712206316,127
41,9,14,4,7.438056282651536,1.2654330512631926,120
42,6,19,4,7.429780145800198,1.2995078955597834,131
43,9,16,3,7.427428044553137,1.3039646980926751,128
44,5,12,7,7.422931210514484,1.2077025511055872,126
45,8,15,4,7.417911363506795,1.2747622476659946,123
46,2,10,22,7.4112383607614625,1.365392864699177,136
47,9,13,4,7.410873218965852,1.244953786430251,122
48,8,12,4,7.406173027761674,1.1997292988859942,131
49,8,14,4,7.394410573916482,1.254959923593045,123
