,macd_fast,macd_slow,macd_signal,annual_return,sqn,trades
0,5,16,14,37.15577393921323,2.2798163872758344,78
1,5,14,16,36.85467796944588,2.2439983465355224,78
2,3,15,23,36.60754831076161,2.423946609956977,88
3,6,13,14,36.59930909916951,2.352218937216882,80
4,6,14,13,36.59930909916951,2.352218937216882,80
5,5,15,15,36.49368606196262,2.26798586662892,78
6,3,18,19,35.71277288301991,2.467253118146285,89
7,3,16,22,35.6688935711076,2.4970538337792565,88
8,9,14,4,35.52461760697598,2.5347618978591435,102
9,6,11,17,35.38694805898497,2.258626418074639,78
10,3,14,25,35.274993670441546,2.3812724241980354,90
11,3,17,20,35.22983329462833,2.377149878565173,89
12,3,16,21,35.084605528126936,2.371795281722251,89
13,5,18,6,34.914569473631815,2.555395641017824,105
14,5,17,13,34.859371025221655,2.2557196100076653,78
15,4,14,9,34.8475080477676,2.502860590488723,102
16,3,15,22,34.790568377009826,2.3553147435364603,89
17,6,18,5,34.770123915541056,2.555308819239384,105
18,3,15,24,34.64950788972283,2.386376602965288,89
19,3,14,24,34.4819721634794,2.351675347158264,91
20,3,13,27,34.47251261813525,2.3557092124960386,90
21,7,10,16,34.46391084478614,2.246545103155224,80
22,10,13,4,34.39298044039165,2.5428073802039712,102
23,5,13,17,34.38448162949294,2.211305500523554,78
24,3,18,24,34.30926095173091,2.302390415644475,81
25,11,12,4,34.300818304096104,2.542684627611498,102
26,3,14,26,34.234059034604854,2.379221777361186,89
27,4,19,18,34.09266956854687,2.2074249783069524,80
28,4,17,8,33.96967491160844,2.542073613219937,106
29,5,18,12,33.89708377527943,2.2685973029593227,79
30,4,15,9,33.851779081349044,2.515412021950346,103
31,4,13,10,33.811440996135794,2.512699502479245,102
32,6,13,15,33.76363750147392,2.1994625594734383,76
33,3,18,18,33.73510500609417,2.3159640215686568,88
34,3,17,19,33.73510500609417,2.3159640215686568,88
35,4,19,13,33.67418212984295,2.3859101232827813,86
36,3,13,29,33.61786809325494,2.339432099236693,90
37,4,17,20,33.61060890826431,2.192798550908817,80
38,4,18,19,33.580085320461244,2.1915140732755782,80
39,6,11,18,33.56072764337077,2.1878754951807906,77
40,6,16,12,33.488918849338084,2.2141800976843955,77
41,5,16,13,33.449252405273505,2.26290389568653,81
42,3,18,26,33.379474915975315,2.239224589274296,83
43,5,15,14,33.27910470313773,2.257799874550137,81
44,6,15,13,33.251144719299255,2.190693396341563,76
45,4,12,11,33.23016236524967,2.503810306123011,102
46,5,14,15,33.221095662739394,2.227986612186043,81
47,3,16,20,33.21543289511658,2.2965415301160124,88
48,3,13,28,33.09480076718848,2.334236382245981,90
49,5,13,16,33.07140442717304,2.2209849406767925,81
