,macd_fast,macd_slow,macd_signal,annual_return,sqn,trades
0,2,49,3,12.211310447153112,1.791781542504968,202
1,2,48,3,12.105869052204357,1.7791308232239769,203
2,2,55,3,11.995557608182214,1.773345203696283,203
3,2,54,3,11.995557608182214,1.7734132065959185,202
4,1,20,31,11.973231996719218,1.569089613138357,143
5,1,23,33,11.961283427827444,1.7196882513801317,127
6,1,19,32,11.939512529471292,1.5472704167057028,143
7,2,53,3,11.928397338397655,1.7611012847378795,203
8,2,56,3,11.892023523814313,1.755520094538386,203
9,2,27,4,11.864944726920342,1.6717080457865516,188
10,1,22,34,11.854918759691062,1.6877235805378097,128
11,1,21,35,11.852544137054362,1.6822135071123527,133
12,1,19,33,11.805198277834778,1.5388736762950808,143
13,2,57,3,11.801700308431466,1.7337986852628946,203
14,2,28,4,11.799373729904216,1.6492930178458138,186
15,1,21,37,11.777687460221868,1.6786567047046264,129
16,1,20,32,11.753738986212795,1.5991378342152496,141
17,1,23,34,11.742394928296534,1.6835476984887423,128
18,1,19,34,11.739614955936135,1.5939944778402588,141
19,1,21,32,11.733610612932596,1.6556577962728627,136
20,1,22,35,11.715766288663414,1.6725261717642177,128
21,1,22,29,11.644944119458357,1.6052335522321266,138
22,1,22,36,11.637946293721017,1.6648452064371553,130
23,1,18,36,11.633198299643386,1.5402234748794357,144
24,1,22,33,11.587872688222433,1.6451942142835734,134
25,1,21,34,11.566043687056158,1.641893375944983,136
26,1,20,30,11.561084786239014,1.483085988546461,143
27,1,22,30,11.54358553917766,1.601723910517158,139
28,1,23,28,11.532799028156154,1.5942126936098864,138
29,1,21,31,11.52465252770996,1.594338963261004,139
30,2,29,4,11.518753014887457,1.629541834438236,187
31,2,11,4,11.51137886115575,1.325300693129704,223
32,1,20,37,11.510406515123004,1.6334745432119664,135
33,2,47,3,11.49738411610109,1.693529257773905,205
34,1,21,36,11.485027757501411,1.6123158416508536,130
35,1,22,32,11.48272671471812,1.630141836013225,136
36,2,42,3,11.482015337086212,1.5143596368821812,208
37,1,19,38,11.458638570901671,1.6176671257539006,138
38,2,58,3,11.433551406395082,1.6670523225249974,204
39,1,20,36,11.426883964057447,1.6191892970514583,136
40,1,24,26,11.41328525869718,1.5311366061060616,138
41,2,59,3,11.398782022032576,1.661270303522803,204
42,1,23,29,11.397803472215786,1.5752740438457462,138
43,1,24,32,11.37990095966844,1.6340278234667571,126
44,1,19,37,11.327927700888324,1.600318450938404,142
45,1,23,32,11.323809016702969,1.6269647843521813,130
46,1,24,33,11.316553594828935,1.6150118765407857,129
47,1,24,34,11.297661024693069,1.7565538145273338,127
48,1,20,35,11.282886453946595,1.6000083936189464,138
49,1,19,39,11.25500188342197,1.5725571336347792,138
