,macd_fast,macd_slow,macd_signal,annual_return,sqn,trades
0,6,59,34,39.19574171056484,1.5148531520208053,44
1,6,57,35,39.145009035626174,1.514462670230107,44
2,7,59,32,38.946015527306585,1.2793282761188534,42
3,7,55,34,38.51430179022584,1.2702737348781157,43
4,7,53,35,38.34904497268974,1.267615765419814,43
5,7,58,32,38.29715536438836,1.455636623733338,45
6,7,59,33,38.26025749803449,1.148165719257893,43
7,7,51,36,38.21302917907759,1.2654841836550732,43
8,7,58,33,38.10124059405124,1.1467189267059017,43
9,8,57,30,38.00354429068172,1.1916035095515292,41
10,6,56,38,38.00262958985517,1.2504348654018138,42
11,6,58,33,37.99023768531121,1.6499647737641197,45
12,7,56,33,37.95489459252531,1.2381942331764089,43
13,7,52,35,37.93378688175515,1.2457948292833465,43
14,7,54,34,37.89907761573328,1.2390677179979324,43
15,6,59,33,37.87614793488028,1.640302610461453,46
16,8,59,25,37.82387966262104,1.5187220061700206,43
17,7,58,34,37.766840745669874,1.1832828979806491,43
18,6,57,38,37.65400767486131,1.2694626130222717,43
19,9,41,39,37.64552316656504,0.8814806755558766,42
20,6,58,34,37.606369904087366,1.5251868320544977,45
21,6,59,37,37.55751981289428,1.2604770474376896,43
22,7,48,38,37.53874531734001,1.2162366984365418,43
23,6,58,35,37.50712069596185,1.5083206387460406,44
24,7,59,34,37.466505411872,1.1781797141215098,43
25,7,56,34,37.43457658640372,1.1383486730093726,43
26,6,58,38,37.41111269179556,1.255362967838562,44
27,7,59,31,37.36052083231338,1.4634091892853498,45
28,6,54,36,37.35740861112436,1.4960905459726457,45
29,10,40,37,37.35039672705045,0.8794586764199456,40
30,7,57,35,37.33396776110413,1.1781838790835857,43
31,6,59,39,37.32897626716218,1.217073378725544,43
32,7,49,37,37.29506730713119,1.212397785909432,43
33,6,56,39,37.29041567401323,1.2546865681870507,44
34,6,58,37,37.27879504660383,1.2368077273676437,43
35,14,44,39,37.262705083559375,0.818400713020849,32
36,6,56,35,37.25756385774843,1.497778103054318,45
37,6,51,38,37.25181239652402,1.4747424987167124,45
38,7,59,36,37.19307137193277,1.1304046438361317,43
39,8,59,30,37.17726194359064,1.1315984980336158,41
40,6,55,36,37.15940692197621,1.4994308736163184,45
41,6,53,37,37.15940692197621,1.4994308736163184,45
42,7,57,37,37.13745661643028,1.1314419192105327,43
43,6,56,36,37.093934514702745,1.3539105905734528,45
44,8,58,25,37.07446483822606,1.5068545350484954,43
45,6,52,39,37.00430188463259,1.3359973068287667,45
46,10,54,17,36.96805629776069,1.9755148601029733,45
47,8,56,26,36.96420598604775,1.4885048048531635,43
48,8,57,25,36.92143128209266,1.5060031327781238,43
49,6,52,38,36.86756075902207,1.4755672333249412,45
