,macd_fast,macd_slow,macd_signal,annual_return,sqn,trades
0,1,10,3,-25.239826501939422,-1.2109102548987614,206
1,1,10,4,-22.7265416822783,-1.3134125739598423,184
2,1,10,5,-17.18599213035869,-0.9964334180084217,167
3,1,10,6,-18.444764689587963,-0.959763863157092,151
4,1,10,7,-17.453892052619324,-1.0208688482351933,142
5,1,10,8,-18.447510272429053,-1.1502373412157758,138
6,1,10,9,-20.14542114399024,-1.1719068357669884,134
7,1,10,10,-19.944210138893748,-1.1638794068059046,128
8,1,10,11,-27.946149519620462,-1.720185647559877,130
9,1,10,12,-27.685893645780112,-1.7719346015940878,131
10,1,10,13,-26.582732051049767,-1.7336914681875089,129
11,1,10,14,-26.784470164836264,-1.7091302239728885,130
12,1,10,15,-28.303963661334897,-1.7341451151789884,125
13,1,10,16,-28.959028790610446,-1.7764343122323127,123
14,1,10,17,-30.71940847839805,-1.8760056437228156,123
15,1,10,18,-31.450371841100605,-1.8583506759984816,122
16,1,10,19,-30.385391020479485,-1.79126912472213,120
17,1,10,20,-32.766204205562964,-1.909319590057561,120
18,1,10,21,-33.26237681697582,-1.9301640193010523,120
19,1,10,22,-31.950471408730323,-1.808209877788926,122
20,1,10,23,-32.385251550684764,-1.8562915232926798,121
21,1,10,24,-32.534289633746916,-1.8796719594032445,120
22,1,10,25,-32.177487937530906,-1.8164074796687935,119
23,1,10,26,-32.31289623325521,-1.8131601562610564,117
24,1,10,27,-32.31413255934481,-1.7630734147470342,118
25,1,10,28,-33.25274692707188,-1.7451661283972737,117
26,1,10,29,-32.13602893388772,-1.7040890644620934,115
27,1,10,30,-31.802627084146955,-1.696169867478848,114
28,1,10,31,-31.89877648572844,-1.699432172598007,113
29,1,10,32,-32.5792057963365,-1.7150922688806678,114
30,1,10,33,-31.75893026267504,-1.5945932096383717,114
31,1,10,34,-31.310339561436294,-1.5306290310565542,115
32,1,10,35,-31.57832521706866,-1.5383961522332752,115
33,1,10,36,-35.53028882993809,-1.6946377123220229,113
34,1,10,37,-34.55564405144621,-1.6729223055597702,113
35,1,10,38,-31.584513715591672,-1.4866922120340798,111
36,1,10,39,-31.995626662944105,-1.5153340769188868,112
37,1,11,3,-27.825304105316466,-1.4102921806036508,204
38,1,11,4,-20.417464530902414,-1.1157205104156374,180
39,1,11,5,-17.438128298053325,-0.9700210171936468,161
40,1,11,6,-18.503883709891138,-1.0399563771380982,147
