,single_kama_fast,single_kama_slow,single_kama_period,annual_return
0,1,30,10,-2.1903185913205907
1,1,30,11,-2.8788869054751673
2,1,30,12,-3.037071224824631
3,1,30,13,-2.41301052716746
4,1,30,14,-3.8123557817924163
5,1,31,10,-1.806977707500601
6,1,31,11,-2.407857355728693
7,1,31,12,-3.2734866510086067
8,1,31,13,-0.9665329113257378
9,1,31,14,-3.6576861118931583
10,1,32,10,-3.070679708618784
11,1,32,11,-2.8122722124023993
12,1,32,12,-2.9530800853191144
13,1,32,13,-0.5169858030966301
14,1,32,14,-3.6576861118931583
15,1,33,10,-2.5086964153570097
16,1,33,11,-2.5001679491808515
17,1,33,12,-2.724088796305512
18,1,33,13,-0.5169858030966301
19,1,33,14,-3.8719082123094704
20,1,34,10,-3.4805060893999
21,1,34,11,-2.656460467628518
22,1,34,12,-2.724088796305512
23,1,34,13,-2.3064099307224377
24,1,34,14,-3.738041233730986
25,2,30,10,-1.974961766745642
26,2,30,11,1.089499378692087
27,2,30,12,1.0568431397482747
28,2,30,13,0.3768565316306013
29,2,30,14,-0.42365950051517004
30,2,31,10,-1.3367857780073942
31,2,31,11,1.089499378692087
32,2,31,12,1.0568431397482747
33,2,31,13,-0.2902956214781205
34,2,31,14,-0.36793129159496285
35,2,32,10,-0.8224447123380592
36,2,32,11,1.1488496844355354
37,2,32,12,0.683720986730375
38,2,32,13,0.03697003427969583
39,2,32,14,-0.024103799104442086
40,2,33,10,-1.2803357587865989
41,2,33,11,1.1486725591293439
42,2,33,12,1.1308351220248316
43,2,33,13,0.03697003427969583
44,2,33,14,-0.024103799104442086
45,2,34,10,-1.7609266929786986
46,2,34,11,-1.5473039184086592
47,2,34,12,1.5613738820557623
48,2,34,13,0.22018127046211783
49,2,34,14,-0.16568967992648312
50,3,30,10,5.368690843431902
51,3,30,11,4.490832833647047
52,3,30,12,5.611424118132629
53,3,30,13,5.644140694923178
54,3,30,14,4.7608952473603185
55,3,31,10,5.368690843431902
56,3,31,11,4.10443814589119
57,3,31,12,5.409661785158361
58,3,31,13,4.71356194095998
59,3,31,14,6.137304784409078
60,3,32,10,5.259355858224333
61,3,32,11,3.7187997271494826
62,3,32,12,5.409661785158361
63,3,32,13,5.895927431291776
64,3,32,14,6.137304784409078
65,3,33,10,5.299516983355302
66,3,33,11,4.403653094739733
67,3,33,12,5.140518606632498
68,3,33,13,5.90807453677591
69,3,33,14,6.589046972974005
70,3,34,10,4.8859440723707595
71,3,34,11,3.0109859506431276
72,3,34,12,4.220625748882844
73,3,34,13,5.341157180398539
74,3,34,14,7.143283689168932
75,4,30,10,8.044746308908431
76,4,30,11,8.171725795239587
77,4,30,12,9.090690251371539
78,4,30,13,9.228634696051293
79,4,30,14,8.214791080297521
80,4,31,10,8.044746308908431
81,4,31,11,8.826952661762299
82,4,31,12,9.717357985090342
83,4,31,13,9.121553254495353
84,4,31,14,8.850862405830435
85,4,32,10,8.03905877526874
86,4,32,11,8.982424296562035
87,4,32,12,9.642697305890257
88,4,32,13,9.423575926600853
89,4,32,14,8.999437026452012
90,4,33,10,7.678290622566313
91,4,33,11,8.830878315981185
92,4,33,12,9.352271193975845
93,4,33,13,9.527001859859688
94,4,33,14,10.085212186691761
95,4,34,10,7.678290622566313
96,4,34,11,8.619507270493964
97,4,34,12,8.960705383028108
98,4,34,13,10.157928275949049
99,4,34,14,9.763232914456477
100,5,30,10,10.275616575997006
101,5,30,11,10.724501940890312
102,5,30,12,10.278758820314948
103,5,30,13,10.620840141667331
104,5,30,14,10.064708630596199
105,5,31,10,10.102642830029469
106,5,31,11,9.977944429754553
107,5,31,12,9.518958667019486
108,5,31,13,9.519885813865567
109,5,31,14,10.489813473515184
110,5,32,10,10.346866793993938
111,5,32,11,11.092148779224633
112,5,32,12,10.615829010676675
113,5,32,13,10.416455941909923
114,5,32,14,10.82022401051788
115,5,33,10,10.346866793993938
116,5,33,11,11.137954883037462
117,5,33,12,10.139535017526203
118,5,33,13,8.970077633628534
119,5,33,14,11.23479977498948
120,5,34,10,10.31361890451064
121,5,34,11,11.269435789895542
122,5,34,12,10.660835392701113
123,5,34,13,9.29750551338154
124,5,34,14,11.405944245376249
125,6,30,10,10.557416284155224
126,6,30,11,11.437631986314639
127,6,30,12,11.376519096014817
128,6,30,13,11.576694910505509
129,6,30,14,11.84403157574561
130,6,31,10,10.557416284155224
131,6,31,11,11.203144841897789
132,6,31,12,11.505497115293847
133,6,31,13,12.03937623697335
134,6,31,14,11.752708997654889
135,6,32,10,10.555241395728324
136,6,32,11,12.562899247775999
137,6,32,12,11.342283011327027
138,6,32,13,11.021180528063837
139,6,32,14,11.169825530566774
140,6,33,10,10.487719212990894
141,6,33,11,12.334363046992637
142,6,33,12,10.834626746271987
143,6,33,13,10.589801030221176
144,6,33,14,10.390026110897677
145,6,34,10,11.070993019295166
146,6,34,11,11.351115315648897
147,6,34,12,11.729703068133377
148,6,34,13,10.268807922318048
149,6,34,14,9.060844353470783
150,7,30,10,9.945899313934202
151,7,30,11,8.990638761897987
152,7,30,12,7.8689316962789535
153,7,30,13,8.15198577496377
154,7,30,14,8.28302832386131
155,7,31,10,10.516951939084029
156,7,31,11,9.219486460609861
157,7,31,12,8.275836148954376
158,7,31,13,8.74921900358645
159,7,31,14,8.71236138145306
160,7,32,10,10.097849367223812
161,7,32,11,8.993468815238238
162,7,32,12,8.118324773481573
163,7,32,13,8.274789247361616
164,7,32,14,9.15150016393118
165,7,33,10,9.129902465539958
166,7,33,11,8.330561481657057
167,7,33,12,8.353619780364536
168,7,33,13,8.628238027406981
169,7,33,14,9.308724252217349
170,7,34,10,8.526620698589886
171,7,34,11,8.195007711393112
172,7,34,12,8.317051860313352
173,7,34,13,9.115678790093487
174,7,34,14,7.472241256533141
175,8,30,10,7.368552941765268
176,8,30,11,7.868021133589921
177,8,30,12,6.8282717269318765
178,8,30,13,7.125069812741512
179,8,30,14,5.401304189161932
180,8,31,10,7.791435359822032
181,8,31,11,7.264596909772485
182,8,31,12,7.641266383070394
183,8,31,13,5.052054348447231
184,8,31,14,5.49764793227144
185,8,32,10,7.675895935729332
186,8,32,11,7.553001863663979
187,8,32,12,6.101720834319539
188,8,32,13,5.386819738755606
189,8,32,14,6.2635594081440855
190,8,33,10,7.2725464955843435
191,8,33,11,7.7574047534413495
192,8,33,12,5.2603322313281895
193,8,33,13,5.386819738755606
194,8,33,14,5.1273675247167
195,8,34,10,8.159826102467616
196,8,34,11,7.901254277280987
197,8,34,12,5.448566454118267
198,8,34,13,6.869178606402528
199,8,34,14,5.918752397339033
200,9,30,10,7.334923655287806
201,9,30,11,7.4724722324734305
202,9,30,12,7.6559571259849175
203,9,30,13,7.3536564486973335
204,9,30,14,6.722218004044224
205,9,31,10,6.0299753806022895
206,9,31,11,7.462393439741705
207,9,31,12,7.85075067029497
208,9,31,13,6.656565458294981
209,9,31,14,6.172841472513587
210,9,32,10,7.315047028351255
211,9,32,11,7.8433428383234345
212,9,32,12,7.585481207002891
213,9,32,13,6.37206773739752
214,9,32,14,6.456943652719188
215,9,33,10,7.402039912392803
216,9,33,11,7.837848673391691
217,9,33,12,7.220193224815078
218,9,33,13,6.596847023728141
219,9,33,14,6.045652320194097
220,9,34,10,7.432604934618574
221,9,34,11,7.58915514389686
222,9,34,12,7.240474044300525
223,9,34,13,6.524807500302527
224,9,34,14,6.283890914049952
