date,high,low,open,close,volume
2005-01-04,1260.7820,1238.1790,1260.7820,1242.7740,816177000
2005-01-05,1258.5800,1235.7460,1241.6820,1251.9370,867865100
2005-01-06,1252.7350,1234.2360,1252.4930,1239.4300,792225400
2005-01-07,1256.3130,1235.5080,1239.3230,1244.7460,894087100
2005-01-10,1252.7230,1236.0890,1243.5760,1252.4010,723468300
2005-01-11,1260.8710,1247.8350,1252.7110,1257.4620,772557000
2005-01-12,1257.1930,1246.4220,1257.1700,1256.9230,676958500
2005-01-13,1259.4990,1251.0160,1255.7180,1256.3140,874670700
2005-01-14,1268.8560,1243.8730,1255.8710,1245.6200,989832700
2005-01-17,1236.3970,1214.0650,1235.5740,1216.6520,1002856500
2005-01-18,1226.0430,1207.0520,1215.7760,1225.4540,1019028800
2005-01-19,1225.0750,1214.6350,1225.0750,1218.1080,937719500
2005-01-20,1213.9600,1199.1670,1213.3680,1204.3940,1031028400
2005-01-21,1237.9090,1189.2110,1201.9330,1234.4760,1697008000
2005-01-24,1265.9490,1239.8000,1258.0240,1255.7770,1802020700
2005-01-25,1254.8660,1239.1640,1252.3540,1254.2340,1181392400
2005-01-26,1254.2320,1240.1310,1252.3720,1241.9580,964069100
2005-01-27,1241.1370,1223.8770,1239.5790,1225.8910,941282900
2005-01-28,1226.3040,1208.8570,1223.7270,1213.6730,817055700
2005-01-31,1210.7550,1190.1730,1210.7550,1191.8230,907806200
2005-02-01,1203.0660,1187.2600,1189.5010,1188.9310,934022200
2005-02-02,1253.1590,1189.5020,1189.5020,1252.5000,1905406200
2005-02-03,1269.1550,1236.1790,1253.8130,1242.3070,2041522500
2005-02-04,1274.1150,1235.6400,1238.6090,1269.0040,1702829300
2005-02-16,1291.4650,1270.3180,1276.0150,1278.8800,1444545500
2005-02-17,1280.0280,1263.7110,1280.0280,1276.1340,1121861200
2005-02-18,1278.6240,1258.5610,1275.6640,1258.9690,1068805000
2005-02-21,1284.9370,1259.5090,1259.5280,1284.4800,1253692200
2005-02-22,1312.5330,1282.7830,1285.6290,1309.2770,2260281500
2005-02-23,1316.5880,1299.1460,1309.6240,1309.4750,2418912700
2005-02-24,1310.9670,1296.9790,1307.0360,1309.9490,2011581500
2005-02-25,1328.5330,1311.2050,1311.3670,1312.4450,2406961000
2005-02-28,1315.1370,1298.9280,1311.4390,1306.0030,1765143200
2005-03-01,1308.7580,1295.6420,1305.2490,1303.4120,1398095200
2005-03-02,1316.7230,1285.9160,1303.3100,1287.4500,1862863500
2005-03-03,1295.2530,1276.8800,1285.1970,1294.3390,1282360900
2005-03-04,1299.5960,1286.4810,1294.1560,1287.7140,1104995800
2005-03-07,1296.8800,1287.7400,1288.4080,1293.7390,1076224600
2005-03-08,1318.8950,1296.9080,1298.2500,1318.2710,1798439800
2005-03-09,1326.0760,1310.2350,1321.2080,1316.7910,2056718700
2005-03-10,1316.9000,1282.5280,1316.9000,1286.2330,1789766900
2005-03-11,1292.5290,1278.1530,1284.5130,1289.9410,1499671400
2005-03-14,1304.1120,1271.5110,1288.9850,1293.5000,1869250200
2005-03-15,1293.2590,1266.6370,1293.1320,1269.1440,1564271900
2005-03-16,1268.1870,1247.8930,1267.0520,1255.5890,1366337300
2005-03-17,1257.7940,1242.5130,1255.9850,1243.4750,1289554300
2005-03-18,1248.0340,1223.6150,1242.4530,1227.4030,1245243200
2005-03-21,1232.8170,1220.8240,1226.1430,1231.0460,996368700
2005-03-22,1231.6760,1202.4270,1230.6820,1206.9220,1465330900
2005-03-23,1218.0110,1194.3220,1205.7550,1201.6490,1344060500
2005-03-24,1208.6080,1187.5810,1200.2570,1208.1920,1147719000
2005-03-25,1211.1600,1199.8700,1207.2030,1205.6340,952758900
2005-03-28,1204.8500,1185.4560,1204.8500,1200.1130,902323300
2005-03-29,1209.2290,1194.5890,1199.6910,1195.0180,923316000
2005-03-30,1192.4470,1171.8110,1192.4470,1172.5740,1138348100
2005-03-31,1181.5310,1162.0310,1168.8280,1181.2360,1043779000
2005-04-01,1237.8000,1173.5430,1180.3730,1223.5660,1966033200
2005-04-04,1218.2750,1196.9450,1212.1180,1202.9670,1379440100
2005-04-05,1209.3410,1189.2550,1200.6910,1191.7450,1158268400
2005-04-06,1220.4150,1183.9060,1191.1980,1214.8680,1672796600
2005-04-07,1248.0620,1213.6500,1216.7280,1225.4870,2427681400
2005-04-08,1249.2030,1218.7590,1225.0490,1248.5210,1776899800
2005-04-11,1252.8130,1235.3560,1248.1500,1240.9720,1930075700
2005-04-12,1239.1340,1218.5120,1239.1340,1219.5110,1307588100
2005-04-13,1254.3190,1228.9740,1228.9740,1248.2030,1954707100
2005-04-14,1253.5980,1233.2370,1252.2060,1234.3320,1561619800
2005-04-15,1229.6800,1213.2030,1229.6800,1216.9620,1426229800
2005-04-18,1212.3920,1190.9840,1212.3920,1197.7350,1167117600
2005-04-19,1202.4920,1191.2310,1196.2810,1199.9020,1095012600
2005-04-20,1198.9560,1178.6400,1198.9560,1184.1930,1118298400
2005-04-21,1190.5410,1167.9940,1182.2050,1172.5560,1326684400
2005-04-22,1177.8850,1163.4020,1171.0280,1169.1870,1357836300
2005-04-25,1166.3420,1146.4140,1166.3420,1157.9710,1354764800
2005-04-26,1169.1450,1151.6370,1155.6440,1165.3350,1397414100
2005-04-27,1166.1980,1148.1380,1165.0990,1148.7570,1361286500
