date,high,low,open,close,volume
2007-08-13,92.3700,82.1700,91.0000,83.3100,6933037
2007-08-14,91.0000,85.3300,87.0000,87.7000,2246878
2007-08-15,87.8500,83.3500,86.0000,85.8000,1650507
2007-08-16,85.0000,82.2000,85.0000,82.3600,1394304
2007-08-17,84.6000,80.5800,81.8900,81.7000,856123
2007-08-20,84.5000,82.0000,82.5000,82.5000,728933
2007-08-21,84.2200,82.0000,82.0300,82.7600,691116
2007-08-22,82.7900,81.0000,81.5000,81.2300,715267
2007-08-23,82.2900,80.1600,81.4000,81.3900,554998
2007-08-24,81.8500,79.9000,81.6900,80.5000,772491
2007-08-27,81.1900,78.9600,80.6300,80.1100,547457
2007-08-28,80.9900,78.9000,80.2000,80.7000,383138
2007-08-29,82.7600,80.0000,80.3500,80.3100,290249
2007-08-30,81.7800,80.0000,81.7800,81.1000,275116
2007-08-31,82.6600,80.7600,81.6800,80.8500,264438
2007-09-03,81.0300,79.6300,81.0100,80.0300,507641
2007-09-04,80.0300,78.0100,80.0300,78.2000,405833
2007-09-05,79.5300,77.7700,77.8100,78.8800,308286
2007-09-06,80.3600,77.5000,77.5000,79.4900,301679
2007-09-07,79.4900,77.5800,79.4900,77.6200,269085
2007-09-10,76.9800,74.0200,76.9800,75.6400,421855
2007-09-11,75.6400,74.1000,75.2500,74.1000,417703
2007-09-12,74.9900,73.0000,74.1000,74.7400,347706
2007-09-13,76.7700,70.0000,74.7400,76.4500,284472
2007-09-14,83.4800,75.9000,75.9000,81.7000,754145
2007-09-17,83.0000,80.0000,81.0000,82.4900,494639
2007-09-18,82.5200,81.1000,81.9800,81.6200,291182
2007-09-19,82.2000,79.5000,80.7300,79.6000,161952
2007-09-20,80.0000,77.6800,79.3100,79.5700,159020
2007-09-21,80.3000,78.0300,79.6000,79.6600,218000
2007-09-24,84.3700,78.0000,79.6600,83.2000,504047
2007-09-25,85.8000,82.9800,82.9800,84.7900,494429
2007-09-26,86.3000,84.0000,84.0000,85.0100,379276
2007-09-27,90.7700,84.6000,84.6000,90.1800,559372
2007-09-28,94.9000,88.0100,90.0000,93.6000,557871
2007-10-08,95.2500,92.5100,95.1200,93.0500,705687
2007-10-09,102.3600,92.0000,92.0500,102.3600,1441087
2007-10-10,107.5000,100.0100,103.9000,103.9000,693702
2007-10-11,108.9800,100.9800,104.0000,105.6000,401188
2007-10-12,106.6600,98.0000,104.0000,101.9900,578637
2007-10-15,108.5000,100.1800,100.5500,106.2900,335621
2007-10-16,106.9900,101.9900,106.2000,103.6000,165970
2007-10-17,104.9000,101.5100,102.0800,103.5000,179440
2007-10-18,113.8500,99.5000,103.5000,112.0000,467322
2007-10-19,123.0000,111.0000,111.0000,121.5000,495830
2007-10-22,127.3000,115.0000,121.0000,121.0000,348504
2007-10-23,126.0000,118.0500,120.0000,122.6000,269827
2007-10-24,127.4800,120.0100,122.8600,122.0000,199424
2007-10-25,122.5100,114.7900,122.1000,116.0000,232913
2007-10-26,121.9800,113.3300,113.3300,118.2000,139324
2007-10-29,120.0000,111.1200,118.2200,113.8800,245788
2007-10-30,120.0000,111.0000,112.0000,117.5000,129269
2007-10-31,120.0000,114.0000,119.8800,117.8800,256431
2007-11-01,122.5000,114.3100,116.1200,121.0200,275568
2007-11-02,129.0000,119.3500,119.3500,123.1200,228518
2007-11-05,125.5500,117.0100,123.0000,118.5000,157572
2007-11-06,119.0000,115.9000,116.2000,115.9000,79302
2007-11-07,118.0000,113.0500,118.0000,115.0000,119621
2007-11-08,114.8000,103.5000,114.0300,103.5000,235673
2007-11-09,105.0000,99.1000,100.2500,103.8600,204197
2007-11-12,102.0200,94.0100,100.0100,98.9900,191581
2007-11-13,99.8800,94.0000,97.0000,97.6300,1405713
2007-11-14,101.5000,95.0000,97.4000,100.0700,315686
2007-11-15,101.6900,97.4100,101.6900,97.9900,212143
2007-11-16,99.9000,95.0200,97.0000,98.9700,255762
2007-11-19,103.9900,98.0000,99.9900,100.9900,245236
2007-11-20,100.9900,100.9900,100.9900,100.9900,0
2007-11-21,102.9900,98.2600,100.0100,99.8000,150970
2007-11-22,101.9800,96.5000,99.5000,99.5100,225441
2007-11-23,101.9800,96.7000,99.9900,101.7000,112036
2007-11-26,104.9800,102.0000,102.6700,103.4800,197380
2007-11-27,104.0000,102.0000,102.0000,102.1100,89060
2007-11-28,103.5000,101.1000,102.1000,102.1400,28953
2007-11-29,105.7900,102.0000,102.0000,105.4100,122078
2007-11-30,109.6000,103.0000,105.9000,105.9900,123654
2007-12-03,108.9800,105.0100,105.0100,107.8000,70262
2007-12-04,110.0000,104.0000,110.0000,105.0000,167306
2007-12-05,107.0000,103.5000,104.1000,106.3300,173573
2007-12-06,112.0000,102.3000,106.0000,110.8000,249102
2007-12-07,112.7000,108.5900,110.8100,111.6800,64611
2007-12-10,119.0000,107.1100,107.1100,118.0000,185479
2007-12-11,120.3000,117.0000,117.8900,118.0000,99485
2007-12-12,125.0000,117.1900,118.0000,122.0000,137971
2007-12-13,126.0000,118.2200,122.5000,120.0000,203479
2007-12-14,124.8000,115.1800,117.8000,123.9600,167271
2007-12-17,126.9000,123.9600,125.0000,125.1000,164032
2007-12-18,128.0000,122.0000,125.1000,126.5000,112221
2007-12-19,139.1500,125.5100,127.0000,139.1400,422779
2007-12-20,144.0000,137.0200,139.8800,137.1600,383662
2007-12-21,139.1800,135.6200,137.1400,137.6000,148173
2007-12-24,148.5000,135.8000,139.6000,143.4900,310776
2007-12-25,148.3000,142.1000,144.8600,146.6000,237374
2007-12-26,149.3000,139.3000,146.0000,142.9900,271728
2007-12-27,145.0000,136.8000,142.0000,138.4900,343608
2007-12-28,141.0000,137.8700,138.4500,139.0000,193918
2008-01-02,144.6800,135.0000,139.0000,142.9900,286539
2008-01-03,144.9500,140.1100,142.5000,143.9900,244904
2008-01-04,144.5000,140.0000,144.0100,144.2900,169715
2008-01-07,156.5000,142.5000,143.9500,156.2000,310070
2008-01-08,158.0000,153.6200,157.6000,156.9600,237661
2008-01-09,158.0000,154.3000,154.3000,157.1800,53381
2008-01-10,161.0000,156.0000,158.0000,156.9000,91469
2008-01-11,157.9500,150.0200,156.0000,154.0000,107975
2008-01-14,155.0000,150.0000,155.0000,153.3700,170100
2008-01-15,159.0000,151.0900,151.1000,153.3700,198823
2008-01-16,154.9800,150.8000,152.9800,153.0000,81295
2008-01-17,158.9700,151.6000,151.6000,158.8900,214241
2008-01-18,163.5600,156.6900,158.8900,162.9000,180598
2008-01-21,164.8800,155.5000,162.9000,156.0200,208231
2008-01-22,154.9000,141.0000,154.9000,149.0000,344343
2008-01-23,154.8000,146.0100,146.0100,152.9900,139506
2008-01-24,155.0000,151.1900,153.9500,152.0000,97328
2008-01-25,157.9400,151.1000,151.9900,153.0500,94466
2008-01-28,154.0000,142.2000,152.0000,147.9900,188127
2008-01-29,148.8800,145.1200,146.0000,148.1000,96760
2008-01-30,155.9900,146.0000,150.5000,150.9800,212690
2008-01-31,153.6900,143.2000,147.5000,144.6300,57454
2008-02-01,142.8800,131.0000,142.8800,132.4500,128550
2008-02-04,144.9800,135.0000,136.2000,144.9800,178960
2008-02-05,145.8700,140.0000,145.0000,143.4000,45472
2008-02-13,147.0000,140.1100,143.0000,146.8000,48015
2008-02-14,148.9700,144.2000,144.2000,147.5700,43024
2008-02-15,155.9500,145.0000,147.5000,153.8000,67398
2008-02-18,157.9700,154.0000,155.8800,157.2900,73738
2008-02-19,161.9800,155.0100,157.3500,157.4100,61270
2008-02-20,158.3900,153.0200,158.3900,153.5000,45566
2008-02-21,155.3700,150.6000,154.6000,154.0000,42361
2008-02-22,155.6800,152.5000,155.0000,154.9800,118293
2008-02-25,157.5000,153.0200,155.0000,154.6300,133000
2008-02-26,162.0000,146.0000,156.0000,153.6600,238869
2008-02-27,159.0000,151.0000,151.0000,157.9400,86867
2008-02-28,165.0000,155.0000,161.0000,159.7000,159325
2008-02-29,175.6700,159.0000,161.0000,175.6700,719290
2008-03-03,184.0000,175.6700,176.0200,179.8800,446876
2008-03-04,180.0000,174.0000,177.8700,176.4900,162880
2008-03-05,177.4700,168.6800,174.0100,172.2000,133774
2008-03-06,175.9900,168.3000,171.1100,171.9000,114668
2008-03-07,172.9900,168.6100,169.0100,170.4800,58132
2008-03-10,170.4800,165.1200,170.0100,168.3300,92964
2008-03-11,166.2000,158.0100,166.2000,161.9800,243989
2008-03-12,167.4000,156.0100,162.5000,156.5000,112840
2008-03-13,156.0000,149.0000,156.0000,153.0000,138063
2008-03-14,160.0000,150.0000,151.0900,160.0000,90731
2008-03-17,163.8800,152.1800,158.3000,152.4000,88298
2008-03-18,153.3300,137.1600,148.0000,137.1600,191190
2008-03-19,137.1600,137.1600,137.1600,137.1600,0
2008-03-20,150.8800,136.5500,137.2100,150.4000,494053
2008-03-21,165.0000,148.0000,148.0000,158.8000,142503
2008-03-24,166.9900,159.9600,159.9600,160.1000,207038
2008-03-25,160.2000,150.6100,160.2000,159.4500,91430
2008-03-26,162.4600,153.2900,156.0000,156.9900,102607
2008-03-27,162.0000,155.5500,158.6800,159.6600,288018
2008-03-28,82.5700,74.5000,79.5800,78.9500,461956
2008-03-31,75.8000,71.0600,75.1000,74.0000,672094
2008-04-01,73.0000,66.6000,72.0000,67.0000,558948
2008-04-02,67.0200,60.3000,67.0000,63.0000,603847
2008-04-03,62.7800,57.8000,60.3000,61.8500,253727
2008-04-07,65.9800,56.0400,60.9900,65.3100,507437
2008-04-08,66.8000,63.6100,64.0600,66.7000,415233
2008-04-09,72.0000,64.0000,65.0000,67.9000,644922
2008-04-10,70.9900,65.7500,66.1000,68.2200,400444
2008-04-11,69.9800,67.0000,67.0000,69.5500,314301
2008-04-14,69.3300,63.0000,68.0000,64.2800,201462
2008-04-15,68.5500,63.0000,64.0100,68.5000,288416
2008-04-16,72.5000,68.0000,69.9000,68.8800,174332
2008-04-17,69.0300,65.0000,68.0000,68.9100,297064
2008-04-18,68.4500,65.4900,68.4500,66.1500,94568
2008-04-21,71.5000,64.0100,70.5000,65.3200,188877
2008-04-22,65.0000,59.0000,63.8800,64.0000,352927
2008-04-23,66.8800,61.1000,64.0000,65.9700,325713
2008-04-24,72.4600,69.0000,70.0000,71.8600,606617
2008-04-25,74.4100,69.9500,72.0500,71.0000,451070
2008-04-28,70.7800,68.9000,70.7700,69.1100,242628
2008-04-29,72.5000,67.8100,67.8100,71.4500,175392
2008-04-30,74.6000,71.4500,72.0000,74.5000,322477
2008-05-05,76.5000,73.0600,76.5000,75.2600,336690
2008-05-06,75.2600,72.3300,75.2600,73.1100,186983
2008-05-07,74.0000,69.9000,73.1100,70.0000,211030
2008-05-08,71.3000,68.6600,69.0000,71.2300,122889
2008-05-09,72.9100,69.3900,71.9900,70.4000,166619
2008-05-12,72.2900,69.5000,69.5000,71.6600,156355
2008-05-13,72.0000,68.0100,70.8000,70.8800,181066
2008-05-14,72.7900,69.9000,70.0000,72.0500,170292
2008-05-15,75.9800,72.0600,72.3500,74.9000,258239
2008-05-16,82.2800,74.9500,74.9500,81.0000,697352
2008-05-19,85.9900,78.5000,81.0000,85.1000,426873
2008-05-20,88.6000,83.0700,85.7000,84.0000,449186
2008-05-21,85.1000,80.0800,80.0800,84.4000,355914
2008-05-22,85.0000,80.5000,83.0100,82.0000,236769
2008-05-23,82.0000,77.9900,81.0000,78.0000,259297
2008-05-26,79.8000,75.1000,77.5000,78.1500,168433
2008-05-27,79.1400,77.3000,79.0000,78.4000,93351
2008-05-28,82.5000,77.4000,80.0100,80.8900,237051
2008-05-29,81.5000,79.0800,80.2000,79.3000,94593
2008-05-30,84.0000,79.3000,79.3000,82.2700,221491
2008-06-02,86.9800,81.0100,81.9900,86.9800,349240
2008-06-03,87.5000,83.3700,87.1000,85.6000,282280
2008-06-04,85.4900,82.5200,85.0700,84.1000,181108
2008-06-05,86.8000,82.6000,83.0000,84.5000,253553
2008-06-06,89.1000,83.0600,84.5000,86.3800,196132
2008-06-10,84.3500,79.2000,81.3500,80.8000,309220
2008-06-11,81.8900,78.3000,79.6400,78.5200,235815
2008-06-12,78.4000,72.7500,76.9000,75.2000,421428
2008-06-13,77.4500,68.8100,77.4500,69.0100,279528
2008-06-16,70.9800,62.5000,69.0200,64.1900,448743
2008-06-17,66.6000,62.0200,63.2000,65.3800,204969
2008-06-18,71.4000,63.5000,63.5500,68.0300,310100
2008-06-19,68.8000,61.4000,68.0300,63.0000,289758
2008-06-20,67.5000,60.0700,63.6000,63.4000,234527
2008-06-23,63.2800,60.6000,62.3700,63.0000,227028
2008-06-24,65.5000,62.2900,62.4900,64.4800,106268
2008-06-25,67.2200,63.3500,65.1800,66.8800,130753
2008-06-26,68.3800,66.2100,67.4000,67.5000,111795
2008-06-27,67.5000,64.0000,66.2000,67.5000,258153
2008-06-30,68.2800,65.0400,66.9000,68.2000,122142
2008-07-01,68.2600,65.8000,68.2600,66.0600,91416
2008-07-02,68.2000,66.0000,66.1000,68.0600,160893
2008-07-03,72.7600,66.6700,67.0100,72.3000,225158
2008-07-04,72.2000,70.0000,71.0000,71.9800,190118
2008-07-07,75.5000,70.7100,71.7100,75.0000,173375
2008-07-08,77.5000,74.2000,74.2000,77.0000,295226
2008-07-09,79.0000,76.8900,78.5000,77.3900,200503
2008-07-10,77.8500,76.0300,77.8500,76.3500,109790
2008-07-11,76.3000,74.1200,75.1100,75.1000,117733
2008-07-14,77.1800,74.8000,77.1800,74.9500,69183
2008-07-15,77.0000,74.0100,75.5500,75.5000,127820
2008-07-16,75.9800,71.0000,74.5000,72.2000,141217
